venue_id,name,type,location,
264,РХГА,TL-EDU,C,
265,Русский музей,CC-ART,H,
266,Этобар,CM-FNB,C,
267,Сашина пекарня,CM-FNB,C,
268,Библиотека вкусов,CM-FNB,C,
269,Заведение АКАКАО,CM-FNB,C,
270,Культурное место,CC-ALT,C,
271,Союз художников,CS-ALL,C,
272,Особняк Румянцева,CC-ART,H,
273,LADЫ,CC-ALT,C,
274,Матмех СПбГУ,TL-EDU,C,
275,Чаплин-Клуб,CC-ALT,C,
276,Timber,CC-ALT,C,
277,Антикафе О'Лень,CM-FNB,C,
278,ДК Крупской,CS-ALL,C,
279,Африка,CC-ALT,C,
280,Зеленый шатер,CC-ALT,S,
281,Театральная площадь,CC-ALT,C,
282,Музей театрального и музыкального искусства,TL-MUS,C,
283,Театр Ток,CC-PER,C,
284,Упсала-цирк,CC-PER,C,
285,Санкт-Петербургский союз художников,CS-ALL,C,
286,Матисс-клуб,CC-ALT,C,
287,Бард-клуб Парус,CC-ALT,C,
288,Котельная,CC-ALT,C,
289,Союз театральных деятелей,CS-ALL,C,
290,Крыша Roof Place,CC-ALT,C,
291,Apotheke Bar,CM-FNB,C,
292,Винный бар Do Immigration,CM-FNB,C,
293,Invader,CC-ALT,C,
294,Пассаж,CC-ART,H,
295,Цветочки,CM-FNB,C,
296,Встретились поговорили,CM-FNB,C,
297,Рюмочная На бровях,CM-FNB,C,
298,Библиотека им. Молчанова,TL-LIB-LOC,C,
299,Квартира Аронзона на Шпалерной,TL-MUS,C,
300,Школа музыки Эглерио,TL-EDU,S,
301,Kletka,CC-ALT,C,
302,Израильский Культурный Центр,IC-CEN,C,
303,Музей политической истории России,TL-MUS,C,
304,Школа нового кино,TL-EDU,C,
305,Библиотека в Выборге,TL-LIB-LOC,S,
306,Театр Поколений,CC-PER,C,
307,Дом Галича,TL-MUS,C,
308,Библиотека Светлова в Колпино,TL-LIB-LOC,S,
309,КЗ Колизей,CC-PER,C,
310,Арт-муза,CC-ART,C,
311,Творческая мастерская Наш театр,CC-PER,C,
312,Коворкинг Контекст,CC-ALT,C,
313,Квартира Бродского,TL-MUS,C,
314,Театр Остров,CC-PER,C,
315,Библиотека на Стремянной,TL-LIB-LOC,C,
316,Стокер,CM-FNB,C,
317,Чайная Хижина,CM-FNB,C,
318,Freedom,CM-FNB,C,
319,Мастерская художника,CC-ART,C,
320,Пена дней,CM-FNB,C,
321,Музей-квартира Л.Н. Бенуа,TL-MUS,C,
322,Gypsy bar,CM-FNB,C,
323,Летний сад,CC-ALT,H,
324,Синий Пушкин,CM-FNB,C,
325,Чердак,CC-ALT,C,
326,ЦБС Московского района,TL-LIB-LOC,C,
327,Библиотека Кировских островов,TL-LIB-LOC,S,
328,Рюмочная На ход ноги,CM-FNB,C,
329,Maklalu,CM-FNB,C,
330,ЦГДБ им. Пушкина филиал №4,TL-LIB-LOC,C,
331,Памятник первопроходцам,CC-ALT,C,
332,ТРК Меркурий,CC-ALT,S,
333,Фонд создания музея Бродского,CS-ALL,C,
334,Музыка и кофе,CM-FNB,C,
335,Дом кино,CC-PER,C,
336,Севкабель Порт,CC-ART,C,
337,Библиотека Гоголя,TL-LIB-LOC,C,
338,Манеж,CC-ART,H,
339,Мотив,CM-FNB,C,
340,ГУАП,TL-EDU,C,
341,Ребра Евы,CM-FNB,C,
342,Молодежный театр на Фонтанке,CC-PER,C,
343,Библиотека роста и карьеры,TL-LIB-LOC,C,
344,Дом творчества писателей,CS-ALL,S,
345,Арт-Лига,CC-ART,C,
346,РГПУ,TL-EDU,C,
347,Во весь голос,CM-BOK-IND,C,
348,HERZENКНИГИ,CM-BOK-IND,C,
349,Библиотека Ржевская,TL-LIB-LOC,S,
350,Камерный театр Малыщицкого,CC-PER,C,
351,Ресторан Баязет,CM-FNB,C,
352,Четверть пинты,CM-FNB,C,
353,Тинькофф,CM-FNB,C,
354,Редакция журнала Аврора,CS-ALL,C,
355,Балтийский стрелковый центр,CC-ALT,C,
356,квартирник,CC-ALT,C,
357,Библиотека пос. Комарово,TL-LIB-LOC,S,
358,Depeche Mode,CM-FNB,C,
359,Эрмитаж,CC-ART,H,
360,Цифербург,CM-FNB,C,
361,Галерея дизайна Bulthaup,CC-ART,C,
362,Галерея Уже,CC-ART,C,
363,Библиотека Чехова,TL-LIB-LOC,C,
364,Ionoff,CC-ART,C,
365,Парк 300-летия Петербурга,CC-ALT,S,
366,набережная Невы,CC-ALT,C,
367,Библиотека Алвара Аалто,TL-LIB-LOC,S,
368,Галерея Свиное рыло,CC-ART,C,
369,Галерея Zerno,CC-ART,C,
370,Клуб-фестиваль Морзе,CC-PER,C,
371,СПбГЭУ,TL-EDU,C,
372,Джекилл и Хайд,CM-FNB,C,
373,Новый выставочный зал музея городской скульптуры,CC-ART,C,
374,Квартирники у Гороховского,CC-ALT,S,
375,Московский вокзал,CC-ALT,C,
376,Заведение Алилуя,CM-FNB,C,
377,Клим Ворошилов,CC-ALT,C,
378,Центральный лекторий,CS-ALL,C,
379,Лицей,TL-EDU,C,
380,Шалтай-Болтай,CM-FNB,C,
381,Дом ученых,CS-ALL,H,
382,Navicula Artis,CC-ART,C,
383,Театр Эстрады,CC-PER,C,
384,Лавочка детских книг,CM-BOK-IND,C,
385,Планетарий,CC-ART,C,
386,Квартал,CC-ALT,C,
387,Михайловский манеж,CC-ART,H,
388,Арт-Полигон,CC-ART,C,
389,Галерея-103,CC-ART,C,
390,Бироновы конюшни,CC-ART,H,
391,Центральная областная детская библиотека,TL-LIB-MAJ,C,
392,Буквоед (Стачек),CM-BOK-CHN,S,
393,Дворы капеллы,CC-ALT,C,
394,Музей П.Щербова,TL-MUS,S,
395,Лавка художника,CM-BOK-IND,C,
396,Книжный клуб на Австрийской площади,CM-BOK-IND,C,
397,Генеральное консульство Финляндии,IC-CEN,C,
398,ЛДМ,CS-ALL,C,
399,Pro Arte,CC-ART,H,
400,ПирОГИ,CM-FNB,C,
401,Китайский летчик Джао Да,CM-FNB,C,
402,Театр Особняк,CC-PER,C,
403,Манхэттен,CM-FNB,C,
404,Книжный магазин Буква,CM-BOK-IND,C,
405,Запасной дворец,CC-ART,S,
406,Фронт,CC-ALT,C,
407,Циник,CM-FNB,C,
408,Музей Октябрьской железной дороги,TL-MUS,C,
409,Мастерская Анастасии Нелюбиной,CC-ART,C,
410,Галерея Исачева,CC-ART,C,
411,Николаевский дворец,CC-ART,H,
412,Форсайт,CC-ALT,C,
413,Ресторан Mon Ami,CM-FNB,C,
414,Галерея АРТ-бюро,CC-ART,C,
415,Редакция журнала НоМИ,CS-ALL,C,
416,Институт Океанологии,TL-EDU,C,
417,Quo Vadis!?,CC-ALT,C,
418,Физический факультет СПбГУ,TL-EDU,S,
419,Галерея Палитра,CC-ART,C,
420,пляж Канонерского острова,CC-ALT,S,
421,Деревня Художников,CC-ART,S,
422,Галерея С.П.А.С.,CC-ART,C,
423,Инк-клуб,CC-ALT,C,
424,Cafemax,CM-FNB,C,
425,Институт психоанализа,TL-EDU,C,
426,Литературное кафе,CM-FNB,C,
427,БУМ,CC-ALT,C,
428,Академический проект,CM-BOK-IND,C,
429,ProArte,CC-ART,C,
430,Чеширский кот,CM-FNB,C,
431,Галерея Невограф,CC-ART,C,
432,Музей П.П.Чистякова,TL-MUS,S,
433,Чайный домик Летнего сада,CM-FNB,H,
434,Центр современного искусства при СПбГУ,CC-ART,C,
435,Библиотека Островского,TL-LIB-LOC,C,
436,Hobby-Centre,CC-ALT,S,
437,Александринский театр,CC-PER,H,
438,Стереобар,CM-FNB,C,
439,Дом молодежи Царскосельский,CS-ALL,S,
440,Мир печати,CM-BOK-IND,C,
441,Санкт-Петербургский научный центр РАН,TL-EDU,C,
442,Академическая гимназия СПбГУ,TL-EDU,C,
443,ДК Горького,CS-ALL,C,
444,Павловский парк,CC-ALT,S,
445,Музей Царскосельская коллекция,TL-MUS,S,
446,Клуб Новая линия,TL-LIB-LOC,S,
447,Музей кофе,TL-MUS,C,
448,Молодежный литературный клуб Зеленая кошка,CS-ALL,C,
449,Книжный магазин Мы,CM-BOK-IND,C,
450,Дом молодежи Рекорд,CS-ALL,C,
451,UTKA bar,CM-FNB,C,
452,Центр книги и графики,CC-ART,C,
453,Пушкинский районный дом культуры,CS-ALL,S,
454,ДКиН СПбГУ,CS-ALL,S,
455,Святодуховский центр,CS-ALL,H,
456,Митьки-Вхутемас,CC-ART,C,
457,Школа № 216 им. Мицкевича,TL-EDU,C,
458,Zoom,CM-FNB,C,
459,Библиотека семейного чтения,TL-LIB-LOC,S,
460,Библиотека Красносельского района,TL-LIB-LOC,S,
461,Библиотека Кировского района,TL-LIB-LOC,S,
462,Галерея ПИК-Арт,CC-ART,C,
463,Петергофский студгородок СПбГУ,TL-EDU,S,
464,Музей леса,TL-MUS,S,
465,Чудо-бар,CM-FNB,C,
466,Институт психологии,TL-EDU,C,
467,Научно-методический центр,TL-EDU,C,
468,Центр Петербургская иудаика,CS-ALL,C,
469,Студия Popcorn,CC-ALT,C,
470,Снарк,CM-BOK-IND,S,
471,Детская библиотека Кировского района,TL-LIB-LOC,C,
472,Паб Красный Лев,CM-FNB,C,
473,Ледовый дворец,CC-PER,S,
474,Балтийский медиа-центр,CS-ALL,C,
475,Гостиница Англетер,CC-ALT,H,
476,Университетский центр,TL-EDU,C,
477,ЛенСпецСМУ,CC-ALT,C,
478,Red Club,CM-FNB,C,
479,Дом военной книги,CM-BOK-IND,C,
480,PRE,CC-ALT,C,
481,Трамвайное Депо,CC-ALT,C,
482,Art-cross,CC-ART,C,
483,Музей обороны Ленинграда,TL-MUS,C,
484,Выставочный зал ПРОТВОР,CC-ART,C,
485,Библиотека Никольская,TL-LIB-LOC,C,
486,Кофейня Идеальная чашка,CM-FNB,C,
487,Сайгон,CM-FNB,H,
488,Господин литератор,CM-BOK-IND,C,
489,DaDa,CM-FNB,C,
490,Библиотека Белинского,TL-LIB-LOC,C,
491,Мемориал,CC-ALT,C,
492,Radiobaby,CM-FNB,C,
493,Кухня,CM-FNB,C,
494,Бар Konzas Street,CM-FNB,C,
495,Кочегарка,CC-ALT,S,
496,Inside,CC-ALT,C,
497,Театр Под самой крышей,CC-PER,C,
498,СПбГУКИ,TL-EDU,C,
499,Студклуб СПбГТУ,CS-ALL,C,
500,Краеведческий музей Комарово,TL-MUS,S,
501,club 2012,CC-ALT,C,
502,Дом творчества композиторов,CS-ALL,S,
503,Издательство Петербургский писатель,CS-ALL,C,
504,Театр дождей,CC-PER,C,
505,Галерея 21,CC-ART,C,
506,Rock-кафе,CM-FNB,C,
507,Буржуазия,CC-ALT,C,
508,Doodlebar,CM-FNB,C,
509,Выставочный зал Николаевская 16,CC-ART,C,
510,Библиотека Современник,TL-LIB-LOC,C,
511,Орландина,CC-ALT,C,
512,Подъездной переулок 12,CC-ALT,C,
513,Большой театр кукол,CC-PER,C,
514,Арт-пространство Bye-bye Ballet,CC-ART,C,
515,Сафо,CM-FNB,C,
516,Образовательный центр Дом Бенуа,TL-EDU,C,
517,Детская библиотека № 14,TL-LIB-LOC,C,
518,Балканская площадь,CC-ALT,S,
519,КДЦ Мга,CS-ALL,S,
520,Сеновал,CC-ALT,C,
521,Гуманитарный Университет профсоюзов,TL-EDU,C,
522,Галерея Ликт-Арт,CC-ART,C,
523,Ресторан НАBEERЕЖНАЯ,CM-FNB,C,
524,Театр-хостел Антракт,CC-ALT,C,
525,Арт-пространство Территория Город,CC-ART,C,
526,ZANZA,CM-FNB,C,
527,Кинотеатр Аврора,CC-PER,C,
528,Галерея–Cтудия VIEWZEN,CC-ART,C,
529,Кафе Соло на столе,CM-FNB,C,
530,Дом Кочневой,CC-ART,H,
531,Рускомплект,CC-ALT,C,
532,Самосуд,CM-FNB,C,
533,Route 148,CM-FNB,C,
534,Галерея Мольберт,CC-ART,C,
535,Душ,CC-ALT,C,
536,КнигАрхив,CM-BOK-IND,C,
537,Космонавт,CC-PER,C,
538,весь мир,CC-ALT,C,
539,Чайный клуб Целый мир,CM-FNB,C,
540,Дворец Белосельских-Белозерских,CC-ART,H,
541,Центр молодежных исследований НИУ ВШЭ,TL-EDU,C,
542,Бар мистера Кокошки,CM-FNB,C,
543,Книжный магазин Англия,CM-BOK-IND,C,
544,Гримерка,CC-ALT,C,
545,Галерея Формула,CC-ART,C,
546,Лавочка КнигиПодарки,CM-BOK-IND,C,
547,Line,CC-ALT,C,
548,Кафе драмы и комедии,CM-FNB,C,
549,Кипяток,CM-FNB,C,
550,LAZAREV GALLERY,CC-ART,C,
551,Несуществующий этаж,CC-ALT,C,
552,Малый драматический театр,CC-PER,C,
553,Улитка на склоне,CM-FNB,C,
554,Сити-бар,CM-FNB,C,
555,Детская библиотека истории и культуры,TL-LIB-LOC,C,
556,Театр Балтийский дом,CC-PER,C,
557,Хостел In Touch,CC-ALT,C,
558,Библиотека Серафимовича,TL-LIB-LOC,C,
559,Театр За Черной речкой,CC-PER,C,
560,Петришуле,TL-EDU,H,
561,Шереметевский дворец,CC-ART,H,
562,КЗ Аврора,CC-PER,C,
563,Малая сцена Академии театрального искусства,CC-PER,C,
564,Баракобамабар,CM-FNB,C,
565,Петрович,CM-FNB,C,
566,Insight,CC-ALT,C,
567,Scorpion-club,CC-ALT,C,
568,V-CLUB,CC-ALT,C,
569,Дом Мурузи,TL-MUS,H,
570,Дитрихбар,CM-FNB,C,
571,Sorry mama bar,CM-FNB,C,
572,Ассоциация международного сотрудничества,IC-CEN,C,
573,СПб филиал Московского Дома национальностей,CS-ALL,C,
574,Дуня,CM-FNB,C,
575,Таврический сад,CC-ALT,C,
576,Винотека D.O.C.,CM-FNB,C,
577,Причал на наб. Робеспьера,CC-ALT,C,
578,Арт-мастерская Колесо,CC-ART,C,
579,ГостинкаART,CC-ART,C,
580,Причал на набережной Робеспьера,CC-ALT,C,
581,Креативное пространство Ткачи,CC-ART,C,
582,Школа живописи для чайникофф,CC-ALT,C,
583,Александровский Сад,CC-ALT,H,
584,Crazy Hunter,CM-FNB,C,
585,Эпсилон-бар,CM-FNB,C,
586,Магазин Академкнига,CM-BOK-IND,C,
587,Михайловский замок,CC-ART,H,
588,Причал на Университетской набережной,CC-ALT,C,
589,Третье место,CM-FNB,C,
590,ДК Ленсовета,CS-ALL,C,
591,Скороход,CC-PER,C,
592,Легко-легко,CC-ALT,C,
593,Библиотека у Московских ворот,TL-LIB-LOC,C,
594,Галерея Интерьеры махараджей,CC-ART,C,
595,Доска,CC-ALT,C,
596,Галерея Ультра Марин,CC-ART,C,
597,Дом молодежи Василеостровского района,CS-ALL,C,
598,Клуб автопутешественников,CC-ALT,C,
599,Легкость бытия,CM-FNB,C,
600,Театр на Васильевском,CC-PER,C,
601,МКЗ У Лесного,CC-PER,S,
602,Зал ожидания,CC-PER,C,
603,Библиотека Павловска,TL-LIB-LOC,S,
604,Грязная галерея,CC-ART,C,
605,Тайга,CC-ART,C,
606,Инженерный замок,CC-ART,H,
607,ЦНСИ,TL-EDU,C,
608,Елагин дворец,CC-ART,H,
609,Малый зал ЦВЗ Манеж,CC-ART,C,
610,Пространство Табурет,CC-ALT,C,
611,Петропавловская крепость,CC-ART,H,
612,Дом 7,CC-ALT,C,
613,8pages,CC-ALT,C,
614,Библиотека на Бухарестской,TL-LIB-LOC,S,
615,Ресторан Пьер,CM-FNB,C,
616,Daily,CM-FNB,C,
617,Высшая школа журналистики,TL-EDU,C,
618,КДЦ Красногвардейский,CS-ALL,C,
619,Любимая история,CM-BOK-IND,C,
620,Time cafe СейЧас,CM-FNB,C,
621,Свобода,CC-ALT,C,
622,Библиотека на Морской,TL-LIB-LOC,C,
623,КЦ Каскад,CS-ALL,S,
624,DALI,CM-FNB,C,
625,Датский институт культуры,IC-CEN,C,
626,Музей семьи Бенуа,TL-MUS,S,
627,Филин Гуд,CM-FNB,C,
628,Susanin,CM-FNB,C,
629,Театр комедии им. Акимова,CC-PER,C,
630,Творческое пространство Кипарис,CC-ALT,C,
631,Море,CM-FNB,C,
632,Лофт Rizzordi,CC-ART,C,
633,Четверть,CM-FNB,C,
634,ЦПКиО,CC-ART,C,
