id,name,transliterated_name,viaf_id,wikidata_id
128,Антон Погребняк,Anton  Pogrebni͡ak,,
129,Николай Голь,Nikolaĭ  Holʹ,22361506,
130,Иван Стависский,Ivan  Stavisskiĭ,,
132,Роберт Уилсон,Robert  Uilson,101747597,Q314215
133,Андрей Синельников,Andreĭ  Sinelʹnikov,41246401,
134,Валерий Савчук,Valeriĭ  Savchuk,295550101,Q4404332
135,Алина Латыпова,Alina  Latypova,,
136,Константин Очеретяный,Konstantin  Ochereti͡anyĭ,,
137,Маргарита Скоморох,Margarita  Skomorokh,'1490168109569743519744',
138,Андрей Муждаба,Andreĭ  Muzhdaba,302931402,
139,Сергей Буглак,Sergeĭ  Buglak,,
140,Константин Шевцов,Konstantin  Shevt͡sov,,
141,Александр Анашевич,Aleksandr  Anashevich,22416729,
142,Пётр Алешковский,Pёtr  Aleshkovskiĭ,97087706,Q4027358
143,Дмитрий Шаховской,Dmitriĭ  Shakhovskoĭ,74934619,
144,Жанар Кусаинова,Zhanar  Kusainova,310723234,
145,Андрей Демьяненко,Andreĭ  Demʹi͡anenko,,
146,Олег Леваков,Oleg  Levakov,,Q4256197
147, Эльяшевич,  Ėlʹi͡ashevich,43477166,Q16722067
148,Евгений Лукин,Evgeniĭ  Lukin,284838386,Q23656174
150,Алла Зиневич,Alla  Zinevich,,
151,Евгений Мякишев,Evgeniĭ  Mi͡akishev,23811353,Q109495560
152,Лариса Йоонас,Larisa  Ĭoonas,'192149542870700294144',Q120968706
153,Кузьма Курвич,Kuzʹma  Kurvich,,
155,Андрей Филимонов,Andreĭ  Filimonov,'4363158309901306429440',Q109488922
156,Сергей Ташевский,Sergeĭ  Tashevskiĭ,'45167561717798494208',
157,Артем Верле,Artem  Verle,'56148570725824315392',
158,Дмитрий Северюхин,Dmitriĭ  Severi͡ukhin,12191134,Q4412643
159,Ирина Рашковская,Irina  Rashkovskai͡a,4817147,
160,Татьяна Данильянц,Tatʹi͡ana  Danilʹi͡ant͡s,250383345,Q4154816
161,Владимир Пряхин,Vladimir  Pri͡akhin,'1157154380943230238720',Q124770921
163,Наталия Троицкая,Natalii͡a  Troit͡skai͡a,20847947,
164,Ольга Туркина,Olʹga  Turkina,60807955,
167,Арсен Мирзаев,Arsen  Mirzaev,21499920,Q4295593
168,Михаил Сапего,Mikhail  Sapego,58979107,Q60825943
171,Андрей Полонский,Andreĭ  Polonskiĭ,'59148704030136934400',Q4370644
172,Ольга Попова,Olʹga  Popova,238388638,Q16514973
173,Сергей Ковальский,Sergeĭ  Kovalʹskiĭ,12095443,Q44155570
174,Александр Гальпер,Aleksandr  Halʹper,'21160208902648623104',Q4132874
176,Владислав Черейский,Vladislav  Chereĭskiĭ,,
177,Михал Айваз,Mikhal  Aĭvaz,27241264,Q712079
179,Дмитрий Чернышев,Dmitriĭ  Chernyshev,9392605,Q21134474
182,Дарья Суховей,Darʹi͡a  Sukhoveĭ,42938005,Q4447134
183,Ася Шнейдерман,Asi͡a  Shneĭderman,36837415,Q4525813
185,Алексей Афонин,Alekseĭ  Afonin,,
186,Елена Пестерева,Elena  Pestereva,107417457,
187,Надежда Воинова,Nadezhda  Voinova,,
188,Юрий Орлицкий,I͡Uriĭ  Orlit͡skiĭ,65672638,Q24009776
189,Арсен Галстян,Arsen  Halsti͡an,,Q60177
190,Татьяна Грауз,Tatʹi͡ana  Hrauz,60967551,Q39382597
191,Дмитрий Григорьев,Dmitriĭ  Hrigorʹev,57029424,Q4149280
193,Виктор Самойлов,Viktor  Samoĭlov,'768144647703844487168',
194,Алексей Кияница,Alekseĭ  Kii͡anit͡sa,,
195,Ольга Логош,Olʹga  Logosh,66182255,
197,Алексей Шепелев,Alekseĭ  Shepelev,,
198,Настя Денисова,Nasti͡a  Denisova,7182458,
200,Баир Дугаров,Bair  Dugarov,67720441,Q15066085
201,София Камилл,Sofii͡a  Kamill,,
202,Анна Орлицкая,Anna  Orlit͡skai͡a,'14156495393017561088',
203,Елена Лагутина,Elena  Lagutina,63764645,
204,Валерий Черешня,Valeriĭ  Chereshni͡a,,Q24936753
205,Михаил Гончарок,Mikhail  Honcharok,97103474,Q4143285
206,Александр Рубашкин,Aleksandr  Rubashkin,1337672,Q18008988
209,Карл Проффер,Karl  Proffer,281969261,
214,Алла Гербер,Alla  Herber,27477618,Q1396140
216,Пётр Фоменко,Pёtr  Fomenko,74112952,Q3388955
217,Елена Тришина,Elena  Trishina,'5161271939147441152',Q109453489
223,Андрей Россомахин,Andreĭ  Rossomakhin,51077126,Q15686434
227,Александр Лидин,Aleksandr  Lidin,316559337,
228,Александр Тишинин,Aleksandr  Tishinin,,
233,Дмитрий Вересов,Dmitriĭ  Veresov,,
237,Георгий Дерлугьян,Heorgiĭ  Derlugʹi͡an,56896104,Q20487010
240,Галина Лола,Halina  Lola,,
241,Ардак Муканова,Ardak  Mukanova,,
242,Вадим Леванов,Vadim  Levanov,10110058,Q4256218
243,Иван Вырыпаев,Ivan  Vyrypaev,74982652,Q3156207
244,Наталья Ворожбит,Natalʹi͡a  Vorozhbit,'190145541841096605696',Q48952299
245,Эллендея Проффер,Ėllendei͡a  Proffer,23383311,Q4382042
252,Евгений Бабушкин,Evgeniĭ  Babushkin,'25151594378605350912',Q4074565
253,Анатолий Заславский,Anatoliĭ  Zaslavskiĭ,,Q4187893
254,Андрей Некрасов,Andreĭ  Nekrasov,85963314,
255,Антон Володин,Anton  Volodin,'17162842205273040896',
257,Ирина Волынская,Irina  Volynskai͡a,'17158912147749769216',
260,Александр Филиппов-Чехов,Aleksandr  Filippov-Chekhov,108088856,
276,Людмила Улицкая,Li͡udmila  Ulit͡skai͡a,87220182,Q266661
277,Р Залман,R  Zalman,'5279159477987028500480',
278,Борух Горин,Borukh  Horin,308232490,
279,М Грубарг,M  Hrubarg,,
281,Р Цви,R  T͡Svi,,
282,Валерий Дымшиц,Valeriĭ  Dymshit͡s,62733384,Q119549513
283,Лев Рубинштейн,Lev  Rubinshteĭn,33059985,Q1376522
284,Игорь Шулинский,Igorʹ  Shulinskiĭ,,
285,Павел Дмитриев,Pavel  Dmitriev,163384217,
287,Алина Мальцева,Alina  Malʹt͡seva,4813450,
288,Елена Сабинина,Elena  Sabinina,'35153182684226789376',
290,Эмиль Ворон,Ėmilʹ  Voron,,
291,Сергей Полотовский,Sergeĭ  Polotovskiĭ,,
295,Евгений Белодубровский,Evgeniĭ  Belodubrovskiĭ,49113930,
302,Сергей Осколков,Sergeĭ  Oskolkov,'106154380942730297344',Q4337988
303,Борис Аверин,Boris  Averin,14879587,Q4055636
304,Илья Бояшов,Ilʹi͡a  Boi͡ashov,89869836,Q4095591
305,Виктор Тихомиров,Viktor  Tikhomirov,113940470,Q4458554
306,Павел Алексеев,Pavel  Alekseev,168802058,
307,Геннадий Муриков,Hennadiĭ  Murikov,'5363161514250970595328',
309,Степан Гаврилов,Stepan  Havrilov,'203160307267657728000',Q109492223
310,Юрген Николаев,I͡Urgen  Nikolaev,,
313,Белла Гусарова,Bella  Husarova,53851780,
314,Николай Сулима,Nikolaĭ  Sulima,302703586,
315,Кирилл Спирин,Kirill  Spirin,,
316,Елена Травина,Elena  Travina,73680988,
318,Евгений Балашов,Evgeniĭ  Balashov,30904788,Q18634060
319,Евгений Жуков,Evgeniĭ  Zhukov,25926672,
323,Елена Луканкина,Elena  Lukankina,298236764,
324,Дарья Донцова,Darʹi͡a  Dont͡sova,102104821,Q196159
328,Татьяна Мацкевич,Tatʹi͡ana  Mat͡skevich,,
329,Татьяна Вольтская,Tatʹi͡ana  Volʹtskai͡a,277072249,Q22918552
330,Вадим Жук,Vadim  Zhuk,'43145304375278567424',Q12104807
